Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Request,8687751,4,0,60053,369.39,97.650%,3290.00598,8335.55,9.89,2594.4
TOTAL,8687751,4,0,60053,369.39,97.650%,3290.00598,8335.55,9.89,2594.4
