Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Request,12252623,9,0,60053,681.24,69.239%,3805.99336,8043.04,149.77,2164.0
TOTAL,12252623,9,0,60053,681.24,69.239%,3805.99336,8043.04,149.77,2164.0
